score,grader,LLM,item
8,Human,LLM A,1
10,Human,LLM A,1
9,Human,LLM A,1
10,Human,LLM A,1
9,Human,LLM A,1
9,Human,LLM A,1
10,Human,LLM A,1
8,Human,LLM A,1
8,Human,LLM A,1
10,Human,LLM A,1
10,Human,LLM A,1
9,Human,LLM A,1
8,Human,LLM A,1
10,Human,LLM A,1
8,Human,LLM A,1
9,Human,LLM A,1
8,Human,LLM A,1
10,Human,LLM A,1
10,Human,LLM A,1
10,Human,LLM A,1
8,Human,LLM A,1
10,Human,LLM A,1
10,Human,LLM A,1
8,Human,LLM A,1
9,Human,LLM A,1
9,Human,LLM A,2
9,Human,LLM A,2
10,Human,LLM A,2
7,Human,LLM A,2
9,Human,LLM A,2
10,Human,LLM A,2
5,Human,LLM A,2
10,Human,LLM A,2
7,Human,LLM A,2
8,Human,LLM A,2
6,Human,LLM A,2
10,Human,LLM A,2
10,Human,LLM A,2
9,Human,LLM A,2
8,Human,LLM A,2
7,Human,LLM A,2
9,Human,LLM A,2
7,Human,LLM A,2
9,Human,LLM A,2
9,Human,LLM A,2
9,Human,LLM A,2
10,Human,LLM A,2
10,Human,LLM A,2
8,Human,LLM A,2
9,Human,LLM A,2
7,Human,LLM A,3
6,Human,LLM A,3
8,Human,LLM A,3
8,Human,LLM A,3
7,Human,LLM A,3
7,Human,LLM A,3
9,Human,LLM A,3
8,Human,LLM A,3
8,Human,LLM A,3
7,Human,LLM A,3
8,Human,LLM A,3
9,Human,LLM A,3
8,Human,LLM A,3
7,Human,LLM A,3
6,Human,LLM A,3
10,Human,LLM A,3
8,Human,LLM A,3
9,Human,LLM A,3
9,Human,LLM A,3
9,Human,LLM A,3
9,Human,LLM A,3
9,Human,LLM A,3
8,Human,LLM A,3
7,Human,LLM A,3
8,Human,LLM A,3
10,Human,LLM A,4
9,Human,LLM A,4
5,Human,LLM A,4
8,Human,LLM A,4
9,Human,LLM A,4
6,Human,LLM A,4
6,Human,LLM A,4
9,Human,LLM A,4
8,Human,LLM A,4
7,Human,LLM A,4
8,Human,LLM A,4
8,Human,LLM A,4
7,Human,LLM A,4
7,Human,LLM A,4
6,Human,LLM A,4
7,Human,LLM A,4
7,Human,LLM A,4
8,Human,LLM A,4
7,Human,LLM A,4
7,Human,LLM A,4
6,Human,LLM A,4
7,Human,LLM A,4
6,Human,LLM A,4
7,Human,LLM A,4
5,Human,LLM A,4
6,Human,LLM B,1
7,Human,LLM B,1
8,Human,LLM B,1
8,Human,LLM B,1
8,Human,LLM B,1
6,Human,LLM B,1
6,Human,LLM B,1
8,Human,LLM B,1
8,Human,LLM B,1
8,Human,LLM B,1
7,Human,LLM B,1
5,Human,LLM B,1
8,Human,LLM B,1
8,Human,LLM B,1
6,Human,LLM B,1
8,Human,LLM B,1
8,Human,LLM B,1
7,Human,LLM B,1
5,Human,LLM B,1
5,Human,LLM B,1
6,Human,LLM B,1
7,Human,LLM B,1
8,Human,LLM B,1
6,Human,LLM B,1
3,Human,LLM B,1
6,Human,LLM B,2
6,Human,LLM B,2
9,Human,LLM B,2
6,Human,LLM B,2
7,Human,LLM B,2
6,Human,LLM B,2
7,Human,LLM B,2
5,Human,LLM B,2
8,Human,LLM B,2
8,Human,LLM B,2
7,Human,LLM B,2
5,Human,LLM B,2
6,Human,LLM B,2
6,Human,LLM B,2
5,Human,LLM B,2
5,Human,LLM B,2
6,Human,LLM B,2
6,Human,LLM B,2
6,Human,LLM B,2
6,Human,LLM B,2
6,Human,LLM B,2
7,Human,LLM B,2
6,Human,LLM B,2
8,Human,LLM B,2
7,Human,LLM B,2
7,Human,LLM B,3
7,Human,LLM B,3
