score,grader,LLM
8,Human,LLM A
7,Human,LLM A
5,Human,LLM A
6,Human,LLM A
8,Human,LLM A
7,Human,LLM A
7,Human,LLM A
8,Human,LLM A
8,Human,LLM A
6,Human,LLM A
8,Human,LLM A
7,Human,LLM A
9,Human,LLM A
8,Human,LLM A
7,Human,LLM A
6,Human,LLM A
5,Human,LLM A
8,Human,LLM A
7,Human,LLM A
6,Human,LLM A
7,Human,LLM A
7,Human,LLM A
6,Human,LLM A
8,Human,LLM A
7,Human,LLM A
8,Human,LLM A
8,Human,LLM A
6,Human,LLM A
7,Human,LLM A
9,Human,LLM A
7,Human,LLM A
7,Human,LLM A
8,Human,LLM A
8,Human,LLM A
7,Human,LLM A
8,Human,LLM A
7,Human,LLM A
7,Human,LLM A
8,Human,LLM A
7,Human,LLM A
8,Human,LLM A
6,Human,LLM A
8,Human,LLM A
7,Human,LLM A
8,Human,LLM A
7,Human,LLM A
7,Human,LLM A
8,Human,LLM A
8,Human,LLM A
6,Human,LLM A
8,Human,LLM A
7,Human,LLM A
6,Human,LLM A
7,Human,LLM A
7,Human,LLM A
6,Human,LLM A
8,Human,LLM A
6,Human,LLM A
6,Human,LLM A
6,Human,LLM A
6,Human,LLM A
7,Human,LLM A
6,Human,LLM A
7,Human,LLM A
7,Human,LLM A
8,Human,LLM A
7,Human,LLM A
7,Human,LLM A
6,Human,LLM A
7,Human,LLM A
8,Human,LLM A
6,Human,LLM A
8,Human,LLM A
7,Human,LLM A
8,Human,LLM A
7,Human,LLM A
7,Human,LLM A
7,Human,LLM A
7,Human,LLM A
6,Human,LLM A
7,Human,LLM A
6,Human,LLM A
7,Human,LLM A
6,Human,LLM A
7,Human,LLM A
5,Human,LLM A
8,Human,LLM A
6,Human,LLM A
7,Human,LLM A
7,Human,LLM A
7,Human,LLM A
7,Human,LLM A
8,Human,LLM A
5,Human,LLM A
7,Human,LLM A
8,Human,LLM A
6,Human,LLM A
7,Human,LLM A
7,Human,LLM A
5,Autograder,LLM A
4,Autograder,LLM A
3,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
6,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
4,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
4,Autograder,LLM A
4,Autograder,LLM A
3,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
3,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
4,Autograder,LLM A
6,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
6,Autograder,LLM A
5,Autograder,LLM A
3,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
3,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
6,Autograder,LLM A
6,Autograder,LLM A
6,Autograder,LLM A
5,Autograder,LLM A
4,Autograder,LLM A
6,Autograder,LLM A
6,Autograder,LLM A
7,Autograder,LLM A
5,Autograder,LLM A
4,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
3,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
4,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
