LLM_1,LLM_2,grader,first_is_chosen,length_diff,llm_pair
LLM A,LLM B,Human,0,110.66770462769252,LLM A-LLM B
LLM A,LLM B,Human,0,37.49543149192645,LLM A-LLM B
LLM A,LLM B,Human,1,127.34906605171957,LLM A-LLM B
LLM A,LLM B,Human,1,61.091629619916496,LLM A-LLM B
LLM A,LLM B,Human,0,99.14609951118267,LLM A-LLM B
LLM A,LLM B,Human,1,80.25357605626365,LLM A-LLM B
LLM A,LLM B,Human,0,112.51378111423234,LLM A-LLM B
LLM A,LLM B,Human,0,102.41907759396787,LLM A-LLM B
LLM A,LLM B,Human,0,148.3706966242945,LLM A-LLM B
LLM A,LLM B,Human,0,107.12963641595329,LLM A-LLM B
LLM A,LLM B,Human,1,46.89919438855399,LLM A-LLM B
LLM A,LLM B,Human,1,73.71268049206165,LLM A-LLM B
LLM A,LLM B,Human,1,193.19320951368246,LLM A-LLM B
LLM A,LLM B,Human,0,151.90058207389865,LLM A-LLM B
LLM A,LLM B,Human,1,128.33599093613557,LLM A-LLM B
LLM A,LLM B,Human,1,26.56923468798682,LLM A-LLM B
LLM A,LLM B,Human,1,109.61117187007667,LLM A-LLM B
LLM A,LLM B,Human,1,113.7716174797051,LLM A-LLM B
LLM A,LLM B,Human,1,29.62232499127174,LLM A-LLM B
LLM A,LLM B,Human,0,100.34024237871584,LLM A-LLM B
LLM A,LLM B,Human,1,126.20413174295373,LLM A-LLM B
LLM A,LLM B,Human,1,66.57593932971461,LLM A-LLM B
LLM A,LLM B,Human,1,156.94273965553845,LLM A-LLM B
LLM A,LLM B,Human,1,82.54103794171246,LLM A-LLM B
LLM A,LLM B,Human,1,101.13583370008199,LLM A-LLM B
LLM A,LLM B,Human,1,1.0202443507907049,LLM A-LLM B
LLM A,LLM B,Human,1,119.42340126662567,LLM A-LLM B
LLM A,LLM B,Human,1,-6.407203164931872,LLM A-LLM B
LLM A,LLM B,Human,1,70.06083845995296,LLM A-LLM B
LLM A,LLM B,Human,0,160.0677826103239,LLM A-LLM B
LLM A,LLM B,Human,0,91.82291402357873,LLM A-LLM B
LLM A,LLM B,Human,1,117.15797039822318,LLM A-LLM B
LLM A,LLM B,Human,1,58.09388387258078,LLM A-LLM B
LLM A,LLM B,Human,0,145.47506299345514,LLM A-LLM B
LLM A,LLM B,Human,1,115.4008230547371,LLM A-LLM B
LLM A,LLM B,Human,1,106.10366020286972,LLM A-LLM B
LLM A,LLM B,Human,1,89.00325949649057,LLM A-LLM B
LLM A,LLM B,Human,1,179.3110402619057,LLM A-LLM B
LLM A,LLM B,Human,0,32.43913292727376,LLM A-LLM B
LLM A,LLM B,Human,1,81.98859562694125,LLM A-LLM B
LLM A,LLM B,Human,1,68.7004211280717,LLM A-LLM B
LLM A,LLM B,Human,1,27.39018028884695,LLM A-LLM B
LLM A,LLM B,Human,1,105.2573595431488,LLM A-LLM B
LLM A,LLM B,Human,0,197.1737108159271,LLM A-LLM B
LLM A,LLM B,Human,0,147.74596485141396,LLM A-LLM B
LLM A,LLM B,Human,1,141.98857925609377,LLM A-LLM B
LLM A,LLM B,Human,1,44.901209669506756,LLM A-LLM B
LLM A,LLM B,Human,0,87.33984601008672,LLM A-LLM B
LLM A,LLM B,Human,1,76.49986751833366,LLM A-LLM B
LLM A,LLM B,Human,1,126.05061206556529,LLM A-LLM B
LLM A,LLM B,Human,1,64.14079373648764,LLM A-LLM B
LLM A,LLM B,Human,1,127.20036211297499,LLM A-LLM B
LLM A,LLM B,Human,1,135.82816801627988,LLM A-LLM B
LLM A,LLM B,Human,1,116.11365826605649,LLM A-LLM B
LLM A,LLM B,Human,0,73.72941868487771,LLM A-LLM B
LLM A,LLM B,Human,1,119.86923660426386,LLM A-LLM B
LLM A,LLM B,Human,1,39.83584136454607,LLM A-LLM B
LLM A,LLM B,Human,1,84.76307139167031,LLM A-LLM B
LLM A,LLM B,Human,0,96.4092089594525,LLM A-LLM B
LLM A,LLM B,Human,1,104.7370467046442,LLM A-LLM B
LLM A,LLM B,Human,0,129.82258867873475,LLM A-LLM B
LLM A,LLM B,Human,0,165.14460027902606,LLM A-LLM B
LLM A,LLM B,Human,1,122.25700473233293,LLM A-LLM B
LLM A,LLM B,Human,0,76.41702598048124,LLM A-LLM B
LLM A,LLM B,Human,0,237.86281666830408,LLM A-LLM B
LLM A,LLM B,Human,1,163.18867757417866,LLM A-LLM B
LLM A,LLM B,Human,1,82.69669713950712,LLM A-LLM B
LLM A,LLM B,Human,1,64.48530636601448,LLM A-LLM B
LLM A,LLM B,Human,1,83.50163176214124,LLM A-LLM B
LLM A,LLM B,Human,1,104.71277687708687,LLM A-LLM B
LLM A,LLM B,Human,1,51.31133765788694,LLM A-LLM B
LLM A,LLM B,Human,1,163.28363135528028,LLM A-LLM B
LLM A,LLM B,Human,1,76.38185250277974,LLM A-LLM B
LLM A,LLM B,Human,1,70.46072183207212,LLM A-LLM B
LLM A,LLM B,Human,1,24.04053915713854,LLM A-LLM B
