score,grader,LLM
8,Human,LLM A
7,Human,LLM A
5,Human,LLM A
6,Human,LLM A
8,Human,LLM A
7,Human,LLM A
7,Human,LLM A
8,Human,LLM A
8,Human,LLM A
6,Human,LLM A
8,Human,LLM A
7,Human,LLM A
9,Human,LLM A
8,Human,LLM A
7,Human,LLM A
6,Human,LLM A
5,Human,LLM A
8,Human,LLM A
7,Human,LLM A
6,Human,LLM A
7,Human,LLM A
7,Human,LLM A
6,Human,LLM A
8,Human,LLM A
7,Human,LLM A
8,Human,LLM A
8,Human,LLM A
6,Human,LLM A
7,Human,LLM A
9,Human,LLM A
7,Human,LLM A
7,Human,LLM A
8,Human,LLM A
8,Human,LLM A
7,Human,LLM A
8,Human,LLM A
7,Human,LLM A
7,Human,LLM A
8,Human,LLM A
7,Human,LLM A
8,Human,LLM A
6,Human,LLM A
8,Human,LLM A
7,Human,LLM A
8,Human,LLM A
7,Human,LLM A
7,Human,LLM A
8,Human,LLM A
8,Human,LLM A
6,Human,LLM A
8,Human,LLM A
7,Human,LLM A
6,Human,LLM A
7,Human,LLM A
7,Human,LLM A
6,Human,LLM A
8,Human,LLM A
6,Human,LLM A
6,Human,LLM A
6,Human,LLM A
6,Human,LLM A
7,Human,LLM A
6,Human,LLM A
7,Human,LLM A
7,Human,LLM A
8,Human,LLM A
7,Human,LLM A
7,Human,LLM A
6,Human,LLM A
7,Human,LLM A
8,Human,LLM A
6,Human,LLM A
8,Human,LLM A
7,Human,LLM A
8,Human,LLM A
7,Human,LLM A
7,Human,LLM A
7,Human,LLM A
7,Human,LLM A
6,Human,LLM A
7,Human,LLM A
6,Human,LLM A
7,Human,LLM A
6,Human,LLM A
7,Human,LLM A
5,Human,LLM A
8,Human,LLM A
6,Human,LLM A
7,Human,LLM A
7,Human,LLM A
7,Human,LLM A
7,Human,LLM A
8,Human,LLM A
5,Human,LLM A
7,Human,LLM A
8,Human,LLM A
6,Human,LLM A
7,Human,LLM A
7,Human,LLM A
5,Human,LLM B
6,Human,LLM B
6,Human,LLM B
5,Human,LLM B
5,Human,LLM B
6,Human,LLM B
6,Human,LLM B
6,Human,LLM B
6,Human,LLM B
5,Human,LLM B
4,Human,LLM B
6,Human,LLM B
6,Human,LLM B
6,Human,LLM B
6,Human,LLM B
5,Human,LLM B
5,Human,LLM B
6,Human,LLM B
4,Human,LLM B
6,Human,LLM B
5,Human,LLM B
4,Human,LLM B
6,Human,LLM B
6,Human,LLM B
3,Human,LLM B
6,Human,LLM B
6,Human,LLM B
5,Human,LLM B
4,Human,LLM B
6,Human,LLM B
5,Human,LLM B
5,Human,LLM B
5,Human,LLM B
5,Human,LLM B
5,Human,LLM B
6,Human,LLM B
6,Human,LLM B
5,Human,LLM B
4,Human,LLM B
4,Human,LLM B
6,Human,LLM B
6,Human,LLM B
6,Human,LLM B
4,Human,LLM B
4,Human,LLM B
5,Human,LLM B
6,Human,LLM B
6,Human,LLM B
5,Human,LLM B
6,Human,LLM B
6,Human,LLM B
6,Human,LLM B
5,Human,LLM B
3,Human,LLM B
5,Human,LLM B
6,Human,LLM B
5,Human,LLM B
5,Human,LLM B
6,Human,LLM B
4,Human,LLM B
5,Human,LLM B
4,Human,LLM B
5,Human,LLM B
5,Human,LLM B
5,Human,LLM B
5,Human,LLM B
4,Human,LLM B
5,Human,LLM B
5,Human,LLM B
4,Human,LLM B
4,Human,LLM B
5,Human,LLM B
5,Human,LLM B
5,Human,LLM B
5,Human,LLM B
6,Human,LLM B
3,Human,LLM B
5,Human,LLM B
6,Human,LLM B
5,Human,LLM B
5,Human,LLM B
5,Human,LLM B
5,Human,LLM B
4,Human,LLM B
6,Human,LLM B
4,Human,LLM B
7,Human,LLM B
6,Human,LLM B
6,Human,LLM B
6,Human,LLM B
5,Human,LLM B
5,Autograder,LLM A
4,Autograder,LLM A
3,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
6,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
4,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
4,Autograder,LLM A
4,Autograder,LLM A
3,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
3,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
4,Autograder,LLM A
6,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
6,Autograder,LLM A
5,Autograder,LLM A
3,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
3,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
6,Autograder,LLM A
6,Autograder,LLM A
6,Autograder,LLM A
5,Autograder,LLM A
4,Autograder,LLM A
6,Autograder,LLM A
6,Autograder,LLM A
7,Autograder,LLM A
5,Autograder,LLM A
4,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
3,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
6,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
5,Autograder,LLM A
4,Autograder,LLM A
4,Autograder,LLM A
5,Autograder,LLM A
3,Autograder,LLM B
3,Autograder,LLM B
1,Autograder,LLM B
2,Autograder,LLM B
2,Autograder,LLM B
3,Autograder,LLM B
3,Autograder,LLM B
3,Autograder,LLM B
1,Autograder,LLM B
0,Autograder,LLM B
1,Autograder,LLM B
2,Autograder,LLM B
3,Autograder,LLM B
4,Autograder,LLM B
2,Autograder,LLM B
1,Autograder,LLM B
1,Autograder,LLM B
1,Autograder,LLM B
1,Autograder,LLM B
0,Autograder,LLM B
2,Autograder,LLM B
2,Autograder,LLM B
0,Autograder,LLM B
3,Autograder,LLM B
1,Autograder,LLM B
2,Autograder,LLM B
3,Autograder,LLM B
3,Autograder,LLM B
2,Autograder,LLM B
1,Autograder,LLM B
4,Autograder,LLM B
2,Autograder,LLM B
2,Autograder,LLM B
2,Autograder,LLM B
3,Autograder,LLM B
1,Autograder,LLM B
2,Autograder,LLM B
0,Autograder,LLM B
1,Autograder,LLM B
3,Autograder,LLM B
3,Autograder,LLM B
3,Autograder,LLM B
0,Autograder,LLM B
1,Autograder,LLM B
1,Autograder,LLM B
2,Autograder,LLM B
3,Autograder,LLM B
2,Autograder,LLM B
2,Autograder,LLM B
2,Autograder,LLM B
1,Autograder,LLM B
3,Autograder,LLM B
3,Autograder,LLM B
3,Autograder,LLM B
1,Autograder,LLM B
3,Autograder,LLM B
3,Autograder,LLM B
3,Autograder,LLM B
1,Autograder,LLM B
0,Autograder,LLM B
2,Autograder,LLM B
1,Autograder,LLM B
2,Autograder,LLM B
2,Autograder,LLM B
1,Autograder,LLM B
2,Autograder,LLM B
2,Autograder,LLM B
3,Autograder,LLM B
3,Autograder,LLM B
2,Autograder,LLM B
2,Autograder,LLM B
0,Autograder,LLM B
3,Autograder,LLM B
3,Autograder,LLM B
3,Autograder,LLM B
3,Autograder,LLM B
2,Autograder,LLM B
3,Autograder,LLM B
2,Autograder,LLM B
2,Autograder,LLM B
3,Autograder,LLM B
2,Autograder,LLM B
3,Autograder,LLM B
