score,grader,LLM
8,Human X,LLM A
7,Human X,LLM A
5,Human X,LLM A
6,Human X,LLM A
8,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
8,Human X,LLM A
8,Human X,LLM A
6,Human X,LLM A
8,Human X,LLM A
7,Human X,LLM A
9,Human X,LLM A
8,Human X,LLM A
7,Human X,LLM A
6,Human X,LLM A
5,Human X,LLM A
8,Human X,LLM A
7,Human X,LLM A
6,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
6,Human X,LLM A
8,Human X,LLM A
7,Human X,LLM A
8,Human X,LLM A
8,Human X,LLM A
6,Human X,LLM A
7,Human X,LLM A
9,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
8,Human X,LLM A
8,Human X,LLM A
7,Human X,LLM A
8,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
8,Human X,LLM A
7,Human X,LLM A
8,Human X,LLM A
6,Human X,LLM A
8,Human X,LLM A
7,Human X,LLM A
8,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
8,Human X,LLM A
8,Human X,LLM A
6,Human X,LLM A
8,Human X,LLM A
7,Human X,LLM A
6,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
6,Human X,LLM A
8,Human X,LLM A
6,Human X,LLM A
6,Human X,LLM A
6,Human X,LLM A
6,Human X,LLM A
7,Human X,LLM A
6,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
8,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
6,Human X,LLM A
7,Human X,LLM A
8,Human X,LLM A
6,Human X,LLM A
8,Human X,LLM A
7,Human X,LLM A
8,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
6,Human X,LLM A
7,Human X,LLM A
6,Human X,LLM A
7,Human X,LLM A
6,Human X,LLM A
7,Human X,LLM A
5,Human X,LLM A
8,Human X,LLM A
6,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
8,Human X,LLM A
5,Human X,LLM A
7,Human X,LLM A
8,Human X,LLM A
6,Human X,LLM A
7,Human X,LLM A
7,Human X,LLM A
5,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
5,Human X,LLM B
4,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
6,Human X,LLM B
4,Human X,LLM B
6,Human X,LLM B
5,Human X,LLM B
4,Human X,LLM B
